cluster,A,A+,A-,B,C,D,E,F
-1,112,44,1027,1735,9620,17810,35132,45815
0,0,0,0,0,0,16,60,34
1,0,0,0,0,0,19,78,34
2,0,0,0,0,0,0,25,178
3,0,0,0,0,0,6,193,34
4,0,0,0,0,0,17,82,45
5,0,0,0,0,0,0,0,187
6,0,0,0,0,0,0,0,2245
7,0,0,0,0,0,0,722,10780
8,0,0,0,0,0,3,233,141
9,0,0,0,0,0,13,107,76
10,0,0,0,0,0,1,206,65
11,0,0,0,0,0,23,253,165
12,0,0,0,0,0,1,47,82
13,0,0,0,0,0,3,106,135
14,0,0,0,0,0,6,48,60
15,0,0,0,0,0,4,182,196
16,0,0,0,0,0,17,196,234
17,0,0,0,0,0,0,56,78
18,0,0,0,0,0,1,102,149
19,0,0,0,0,0,5,146,259
20,0,0,0,0,0,3,45,107
21,0,0,0,0,0,3,49,137
22,0,0,0,0,0,1,42,242
23,0,0,0,0,0,2,41,120
24,0,0,0,0,0,2,50,111
25,0,0,0,0,0,0,61,153
26,0,0,0,0,0,1,33,120
27,0,0,0,0,0,44,295,449
28,0,0,0,0,0,2,42,81
29,0,0,0,0,0,8,325,831
30,0,0,0,0,0,7,84,93
31,0,0,0,0,0,0,88,17
32,0,0,0,0,0,0,142,18
33,0,0,0,0,0,0,109,11
34,0,0,0,0,0,0,131,28
35,0,0,0,0,0,0,144,56
36,0,0,0,0,0,0,166,39
37,0,0,0,0,0,0,372,64
38,0,0,0,0,0,0,58,46
39,0,0,0,0,0,0,395,38
40,0,0,0,0,0,2,26,183
41,0,0,0,0,0,2,111,66
42,0,0,0,0,0,6,154,123
43,0,0,0,0,0,122,2279,1189
44,0,0,0,0,0,0,68,80
45,0,0,0,0,0,0,448,65
46,0,0,0,0,0,0,0,201
47,0,0,0,0,0,0,0,874
48,0,0,0,0,0,0,61,103
49,0,0,0,0,0,0,474,264
50,0,0,0,0,0,0,0,913
51,0,0,0,0,0,0,0,244
52,0,0,0,0,0,0,0,746
53,0,0,0,0,0,0,0,276
54,0,0,0,0,0,0,0,934
55,0,0,0,0,0,0,0,253
56,0,0,0,0,0,0,0,1209
57,0,0,0,0,0,0,0,155
58,0,0,0,0,0,0,0,307
59,0,0,0,0,0,0,0,267
60,0,0,0,0,0,0,0,292
61,0,0,0,0,0,0,0,460
62,0,0,0,0,0,0,0,227
63,0,0,0,0,0,0,0,361
64,0,0,0,0,0,0,0,415
65,0,0,0,0,0,0,0,147
66,0,0,0,0,0,0,0,312
67,0,0,0,0,0,0,0,378
68,0,0,0,0,0,0,0,398
69,0,0,0,0,0,0,0,210
70,0,0,0,0,0,0,0,209
71,0,0,0,0,0,0,0,100
72,0,0,0,0,0,0,0,574
73,0,0,0,0,0,0,0,154
74,0,0,0,0,0,0,0,112
75,0,0,0,0,0,0,0,244
76,0,0,0,0,0,0,0,158
77,0,0,0,0,0,0,0,144
78,0,0,0,0,0,0,0,229
79,0,0,0,0,0,0,0,404
80,0,0,0,0,0,0,0,142
81,0,0,0,0,0,0,0,952
82,0,0,0,0,0,0,0,161
83,0,0,0,0,0,0,0,204
84,0,0,0,0,0,0,0,203
85,0,0,0,0,0,0,0,212
86,0,0,0,0,0,0,0,413
87,0,0,0,0,0,0,0,560
88,0,0,0,0,0,0,0,343
89,0,0,0,0,0,0,0,130
90,0,0,0,0,0,0,0,162
91,0,0,0,0,0,0,0,111
92,0,0,0,0,0,0,0,167
93,0,0,0,0,0,0,0,286
94,0,0,0,0,0,0,0,1526
95,0,0,0,0,0,0,0,355
96,0,0,0,0,0,0,0,160
97,0,0,0,0,0,0,0,193
98,0,0,0,0,0,0,0,645
99,0,0,0,0,0,0,0,399
100,0,0,0,0,0,0,0,133
101,0,0,0,0,0,0,0,133
102,0,0,0,0,0,0,0,1314
103,0,0,0,0,0,0,0,146
104,0,0,0,0,0,0,0,173
105,0,0,0,0,0,0,0,120
106,0,0,0,0,0,0,0,122
107,0,0,0,0,0,0,0,197
108,0,0,0,0,0,0,0,145
109,0,0,0,0,0,0,0,266
110,0,0,0,0,0,0,0,118
111,0,0,0,0,0,0,0,119
112,0,0,0,0,0,0,0,148
113,0,0,0,0,0,0,0,1375
114,0,0,0,0,0,0,0,168
115,0,0,0,0,0,0,0,178
116,0,0,0,0,0,0,0,411
117,0,0,0,0,0,0,0,148
118,0,0,0,0,0,0,0,114
119,0,0,0,0,0,0,0,211
